ArtNr,Label,Brand,Size,Material,Form
1461 001.000.000,"Zargen- Wannendichtband Alterna, Länge 2 m, 2 Wannen- Eckdichtungen Butyl, integrierte Schallisolierung, Schall- und Schnittbeschädigungsschutz, selbstklebend, für alle Einbauvarianten geeignet, Wannenoberflächen - Schutzband, 1 Anpressschaber, 1 Messer, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Alterna,,,

1461 005.000.000,"Zargen- Wannendichtband Alterna, Länge 3,6 m, 2 Wannen- Eckdichtungen Butyl, integrierte Schallisolierung, Schall- und Schnittbeschädigungsschutz, selbstklebend, für alle Einbauvarianten geeignet, Wannenoberflächen - Schutzband, 1 Anpressschaber, 1 Messer, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Alterna,,,

1461 142.000.000,"Zargen- Wannendichtband Alterna, Länge 2,8 m, 2 Wannen- Eckdichtungen Butyl, integrierte Schallisolierung, Schall- und Schnittbeschädigungsschutz, selbstklebend, für alle Einbauvarianten geeignet, Wannenoberflächen - Schutzband, 1 Anpressschaber, 1 Messer, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Alterna,,,

1461 008.000.000,"Zargen- Wannendichtband Alterna, Länge 4,8 m, 3 Wannen- Eckdichtungen Butyl, integrierte Schallisolierung, Schall- und Schnittbeschädigungsschutz, selbstklebend, für alle Einbauvarianten geeignet, Wannenoberflächen - Schutzband, 1 Anpressschaber, 1 Messer, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Alterna,,,

1461 009.000.000,"Zargen- Wannendichtband Alterna, Länge 6 m, 3 Wannen- Eckdichtungen Butyl, integrierte Schallisolierung, Schall- und Schnittbeschädigungsschutz, selbstklebend, für alle Einbauvarianten geeignet, Wannenoberflächen - Schutzband, 1 Anpressschaber, 1 Messer, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Alterna,,,

1461 014.000.000,"Zargen- Wannendichtband Alterna, Länge 20 m, 10 Wannen- Eckdichtungen Butyl, integrierte Schallisolierung, Schall- und Schnittbeschädigungsschutz, selbstklebend, für alle Einbauvarianten geeignet, Wannenoberflächen - Schutzband, 1 Anpressschaber, 1 Messer, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Alterna,,,

1171 405.000.000,"Duschenwannengarnitur Laufen Pro, für Ablaufloch Ø 90 mm, ohne Ablaufhaube, 35 liter pro minute",Laufen,,,

1425 561.000.000,"Linearer Siphon Laufen Pro S, für Duschwannen mit Sperrwasserhöhe 50 mm, ohne Ablaufabdeckung, Wasserablaufanschluss mittig",Laufen,,,

1311 201.000.000,"Schallschutz- Set Laufen, für Installationsrahme zur Erfüllung der Norm SIA 181",Laufen,,,

1425 566.000.000,"Duschwanneninstallationsrahmen Laufen Pro S Breite 900 mm Länge 600 - 1000 mm Höhe 85 - 175 mm Länge ausziehbar",Laufen,,,

1425 565.000.000,"Duschwanneninstallationsrahmen Laufen Pro S Breite 800 mm Länge 1800 - 2200 mm Höhe 85 - 175 mm Länge ausziehbar",Laufen,,,

1425 567.000.000,"Duschwanneninstallationsrahmen Laufen Pro S Breite 900 mm Länge 1000 - 1400 mm Höhe 85 - 175 mm Länge ausziehbar",Laufen,,,

1425 568.000.000,"Duschwanneninstallationsrahmen Laufen Pro S Breite 900 mm Länge 1400 - 1800 mm Höhe 85 - 175 mm Länge ausziehbar",Laufen,,,

1425 569.000.000,"Duschwanneninstallationsrahmen Laufen Pro S Breite 1000 mm Länge 1800 - 2200 mm Höhe 85 - 175 mm Länge ausziehbar",Laufen,,,

1425 564.000.000,"Duschwanneninstallationsrahmen Laufen Pro S Breite 800 mm Länge 1400 - 1800 mm Höhe 85 - 175 mm Länge ausziehbar",Laufen,,,

1425 562.000.000,"Duschwanneninstallationsrahmen Laufen Pro S Breite 750 mm Länge 1400 - 1800 mm Höhe 85 - 175 mm Länge ausziehbar",Laufen,,,

1425 563.000.000,"Duschwanneninstallationsrahmen Laufen Pro S Breite 800 mm Länge 1000 - 1400 mm Höhe 85 - 175 mm Länge ausziehbar",Laufen,,,

1425 566.000.000,"Duschwanneninstallationsrahmen Laufen Pro S Breite 900 mm Länge 600 - 1000 mm Höhe 85 - 175 mm Länge ausziehbar",Laufen,,,

1425 565.000.000,"Duschwanneninstallationsrahmen Laufen Pro S Breite 800 mm Länge 1800 - 2200 mm Höhe 85 - 175 mm Länge ausziehbar",Laufen,,,

1425 567.000.000,"Duschwanneninstallationsrahmen Laufen Pro S Breite 900 mm Länge 1000 - 1400 mm Höhe 85 - 175 mm Länge ausziehbar",Laufen,,,

1425 568.000.000,"Duschwanneninstallationsrahmen Laufen Pro S Breite 900 mm Länge 1400 - 1800 mm Höhe 85 - 175 mm Länge ausziehbar",Laufen,,,

1425 569.000.000,"Duschwanneninstallationsrahmen Laufen Pro S Breite 1000 mm Länge 1800 - 2200 mm Höhe 85 - 175 mm Länge ausziehbar",Laufen,,,

1425 564.000.000,"Duschwanneninstallationsrahmen Laufen Pro S Breite 800 mm Länge 1400 - 1800 mm Höhe 85 - 175 mm Länge ausziehbar",Laufen,,,

1425 562.000.000,"Duschwanneninstallationsrahmen Laufen Pro S Breite 750 mm Länge 1400 - 1800 mm Höhe 85 - 175 mm Länge ausziehbar",Laufen,,,

1425 563.000.000,"Duschwanneninstallationsrahmen Laufen Pro S Breite 800 mm Länge 1000 - 1400 mm Höhe 85 - 175 mm Länge ausziehbar",Laufen,,,

1311 184.000.000,"Duschwanneninstallationsrahmen Laufen Ineo, Höhe 85 -175 mm Breite 700 mm Länge (ausziehbar) 1000 - 1400 mm",Laufen,,,

1311 183.000.000,"Duschwanneninstallationsrahmen Laufen Ineo, Höhe 85 -175 mm Breite 700 mm Länge (ausziehbar) 600 - 1000 mm",Laufen,,,

1311 193.000.000,"Duschwanneninstallationsrahmen Laufen Ineo, Höhe 85 -175 mm Breite 900 mm Länge (ausziehbar) 1800 - 2000 mm",Laufen,,,

1311 186.000.000,"Duschwanneninstallationsrahmen Laufen Ineo, Höhe 85 -175 mm Breite 750 mm Länge (ausziehbar) 1400 - 1800 mm",Laufen,,,

1311 199.000.000,"Duschwanneninstallationsrahmen Laufen Ineo, Breite 1500 mm, 1200 - 1600 mm, Höhe 85 - 175 mm, Länge (ausziehbar)",Laufen,,,

1311 192.000.000,"Duschwanneninstallationsrahmen Laufen Ineo, Höhe 85 -175 mm Breite 900 mm Länge (ausziehbar) 1400 - 1800 mm",Laufen,,,

1311 194.000.000,"Duschwanneninstallationsrahmen Laufen Ineo, Höhe 85 -175 mm Breite 1000 mm Länge (ausziehbar) 1000 - 1400 mm",Laufen,,,

1311 188.000.000,"Duschwanneninstallationsrahmen Laufen Ineo, Höhe 85 -175 mm Breite 800 mm Länge (ausziehbar) 1000 - 1400 mm",Laufen,,,

1311 190.000.000,"Duschwanneninstallationsrahmen Laufen Ineo, Höhe 85 -175 mm Breite 900 mm Länge (ausziehbar) 600 - 1000 mm",Laufen,,,

1311 197.000.000,"Duschwanneninstallationsrahmen Laufen Ineo, Höhe 85 -175 mm Breite 1200 mm Länge (ausziehbar) 1000 - 1400 mm",Laufen,,,

1311 185.000.000,"Duschwanneninstallationsrahmen Laufen Ineo, Höhe 85 -175 mm Breite 700 mm Länge (ausziehbar) 1400 - 1800 mm",Laufen,,,

1311 198.000.000,"Duschwanneninstallationsrahmen Laufen Ineo, Höhe 85 -175 mm Breite 1400 mm Länge (ausziehbar) 1200 - 1600 mm",Laufen,,,

1311 189.000.000,"Duschwanneninstallationsrahmen Laufen Ineo, Höhe 85 -175 mm Breite 800 mm Länge (ausziehbar) 1400 - 1800 mm",Laufen,,,

1311 195.000.000,"Duschwanneninstallationsrahmen Laufen Ineo, Höhe 85 -175 mm Breite 1000 mm Länge (ausziehbar) 1400 - 1800 mm",Laufen,,,

1311 191.000.000,"Duschwanneninstallationsrahmen Laufen Ineo, Höhe 85 -175 mm Breite 900 mm Länge (ausziehbar) 1000 - 1400 mm",Laufen,,,

1311 187.000.000,"Duschwanneninstallationsrahmen Laufen Ineo, Höhe 85 -175 mm Breite 800 mm Länge (ausziehbar) 600 - 1000 mm",Laufen,,,

1311 196.000.000,"Duschwanneninstallationsrahmen Laufen Ineo, Höhe 85 -175 mm Breite 1000 mm Länge (ausziehbar) 1800 - 2000 mm",Laufen,,,

1311 375.000.000,"Duschwannen- Installationsrahmen Laufen Ineo, 900- 1200 x 900- 1100 mm, für Marbond Duschwannen, flexibel, Höhe 85 - 175 mm, Stahl",Laufen,,Stahl-Email,

1311 370.000.000,"Duschwannen- Installationsrahmen Laufen Ineo, 600- 900 x 700- 900 mm, für Marbond Duschwannen, flexibel, Höhe 85 - 175 mm, Stahl",Laufen,,Stahl-Email,

1311 380.000.000,"Duschwannen- Installationsrahmen Laufen Ineo, 1200- 1500 x 1300- 1500 mm, für Marbond Duschwannen, flexibel, Höhe 85 - 175 mm, Stahl",Laufen,,Stahl-Email,

1311 371.000.000,"Duschwannen- Installationsrahmen Laufen Ineo, 900- 1200 x 700- 900 mm, für Marbond Duschwannen, flexibel, Höhe 85 - 175 mm, Stahl",Laufen,,Stahl-Email,

1311 383.000.000,"Duschwannen- Installationsrahmen Laufen Ineo, 1400- 1700 x 600- 800 mm, für Marbond Duschwannen, flexibel, Höhe 85 - 175 mm, Stahl",Laufen,,Stahl-Email,

1311 377.000.000,"Duschwannen- Installationsrahmen Laufen Ineo, 1500- 1800 x 900- 1100 mm, für Marbond Duschwannen, flexibel, Höhe 85 - 175 mm, Stahl",Laufen,,Stahl-Email,

1311 372.000.000,"Duschwannen- Installationsrahmen Laufen Ineo, 1200- 1500 x 700- 900 mm, für Marbond Duschwannen, flexibel, Höhe 85 - 175 mm, Stahl",Laufen,,Stahl-Email,

1311 384.000.000,"Duschwannen- Installationsrahmen Laufen Ineo, 1700- 2000 x 600- 800 mm, für Marbond Duschwannen, flexibel, Höhe 85 - 175 mm, Stahl",Laufen,,Stahl-Email,

1311 376.000.000,"Duschwannen- Installationsrahmen Laufen Ineo, 1200- 1500 x 900- 1100 mm, für Marbond Duschwannen, flexibel, Höhe 85 - 175 mm, Stahl",Laufen,,Stahl-Email,

1311 382.000.000,"Duschwannen- Installationsrahmen Laufen Ineo, 1000- 1300 x 600- 800 mm, für Marbond Duschwannen, flexibel, Höhe 85 - 175 mm, Stahl",Laufen,,Stahl-Email,

1311 374.000.000,"Duschwannen- Installationsrahmen Laufen Ineo, 1800- 2100 x 700- 900 mm, für Marbond Duschwannen, flexibel, Höhe 85 - 175 mm, Stahl",Laufen,,Stahl-Email,

1311 381.000.000,"Duschwannen- Installationsrahmen Laufen Ineo, 1500- 1800 x 550- 750 mm, für Marbond Duschwannen, flexibel, Höhe 85 - 175 mm, Stahl",Laufen,,Stahl-Email,

1311 373.000.000,"Duschwannen- Installationsrahmen Laufen Ineo, 1500- 1800 x 700- 900 mm, für Marbond Duschwannen, flexibel, Höhe 85 - 175 mm, Stahl",Laufen,,Stahl-Email,

1311 378.000.000,"Duschwannen- Installationsrahmen Laufen Ineo, 1800- 2100 x 900- 1100 mm, für Marbond Duschwannen, flexibel, Höhe 85 - 175 mm, Stahl",Laufen,,Stahl-Email,

1311 379.000.000,"Duschwannen- Installationsrahmen Laufen Ineo, 900- 1200 x 1100- 1300 mm, für Marbond Duschwannen, flexibel, Höhe 85 - 175 mm, Stahl Preisübersicht Unverbindliche Richtpreise Total18'901.00 geschätzte Transportkosten737.17 8.1 % MWSt1'590.68 Rundungsdifferenz0.00 Gesamtbetrag inkl. MwSt. in CHF 21'228.85 Preisänderung vorbehalten Unverbindliche Richtpreise",Laufen,,Stahl-Email,
